id,submission,sourceCode,author,memory,time,sent,countline,problems_id,verdicts_id,languages_id,isduplicated
11916,22571343,"n, t = map(int, input().split())
posl = list(map(int, input().split()))

posl = posl*t

dp = [-10**10 for i in range(len(posl))]
dp[0] = 1

def ddp(i):
	ans = 1
	for n in range(i):
		if posl[i] >= posl[n]:
			ans = max(ans, dp[n])
	
	dp[i] = int(ans+1)

for i in range(1, len(posl)):
	ddp(i)

print(max(dp)-1)",3683,0,233,2016-11-28 13:51:28,20,9,2,8,0
11917,22571393,"n, t = map(int, input().split())
posl = list(map(int, input().split()))

posl = posl*t

dp = [-10**10 for i in range(len(posl))]
dp[0] = 1

def ddp(i):
	ans = 0
	for n in range(i):
		if posl[i] >= posl[n]:
			ans = max(ans, dp[n])
	
	dp[i] = int(ans+1)

for i in range(1, len(posl)):
	ddp(i)

print(max(dp))",3683,2112,1000,2016-11-28 13:54:40,20,9,3,8,0
12718,27556272,"n=input()
arr=map(int,raw_input().strip().split("" ""))
arr.sort(reverse=True)
lis=list(set(arr))
i=len(lis)-1
c=1
while(c<=n):
    print lis[i],
    c+=1
    i-=1
    i=i%len(lis)",3857,16,46,2017-06-04 08:44:34,21,7,2,13,0
12719,27556306,"n=input()
arr=map(int,raw_input().strip().split("" ""))
arr.sort(reverse=True)
lis=list(set(arr))
lis.sort()
i=len(lis)-1
c=1
while(c<=n):
    print lis[i],
    c+=1
    i-=1
    i=i%len(lis)",3857,3564,186,2017-06-04 08:47:17,23,7,2,13,0
13165,16619636,"# your code goes here
n = int(raw_input())
arr = map(int, raw_input().split())
num = 0
removed=[0]*n
cnt = 0
t = n
direc = 0
while t != 0:
	if direc == 0:
		for i in range(len(arr)):
			if removed[i]==0 and arr[i] <= num:
				removed[i]=1
				t-=1
				num+=1
	elif direc == 1:
		for j in range(len(arr)):
			i = n-1-j
			if removed[i]==0 and arr[i] <= num:
				removed[i]=1
				t-=1
				num+=1
	cnt+=1
	direc+=1
	direc%=2
	# print arr
	# print removed
		
print cnt",3968,0,46,2016-03-09 18:31:06,57,13,2,13,0
13166,16619882,"# your code goes here
n = int(raw_input())
arr = map(int, raw_input().split())
num = 0
removed=[0]*n
cnt = 0
t = n
direc = 0
if direc == 0:	
		for i in range(len(arr)):
			if removed[i]==0 and arr[i] <= num:
				removed[i]=1
				t-=1
				num+=1
direc = 1
# print t
while t != 0:
	if direc == 0:	
		for i in range(len(arr)):
			if removed[i]==0 and arr[i] <= num:
				removed[i]=1
				t-=1
				num+=1
	else:
		for j in range(len(arr)):
			i = n-1-j
			if removed[i]==0 and arr[i] <= num:
				removed[i]=1
				t-=1
				num+=1
	# print arr, num,t
	# print removed
	cnt+=1
	direc+=1
	direc%=2
	# print arr
	# print removed
		
print cnt",3968,24,249,2016-03-09 18:48:48,77,13,1,13,0
13168,16620479,"# your code goes here
n, m = map(int, raw_input().split())
arr = map(int, raw_input().split())
ref=[]
for i in arr:
	ref.append(i)
ref.sort()
d={}
max = -1
min = 10000
for i in arr:
	if i in d:
		d[i]+=1
	else:
		d[i]=1
	if i > max:
		max = i
	if i < min:
		min = i
ans = 0
removed = [0]*n
t = n
disp=[]
j = 0
while j!=n and m!=0:
	for i in range(n):
		if j!= n and arr[i] == ref[j]:
			j+=1
			disp.append(arr[i])
			# min = arr[i]
			removed[i] = 1
			ans+=1
	# t-=1
	m-=1
# print m
if m > 0:
	ans+=(m*d[max])
# print disp
print ans",3968,0,46,2016-03-09 19:26:48,77,15,2,13,0
13169,16620522,"# your code goes here
n, m = map(int, raw_input().split())
arr = map(int, raw_input().split())
ref=[]
for i in arr:
	ref.append(i)
ref.sort()
d={}
max = -1
min = 10000
for i in arr:
	if i in d:
		d[i]+=1
	else:
		d[i]=1
	if i > max:
		max = i
	if i < min:
		min = i
ans = 0
removed = [0]*n
t = n
disp=[]
j = 0
while j!=n and m!=0:
	for i in range(n):
		if j!= n and arr[i] == ref[j] and removed[i] == 0:
			j+=1
			disp.append(arr[i])
			# min = arr[i]
			removed[i] = 1
			ans+=1
	# t-=1
	m-=1
# print m
if m > 0:
	ans+=(m*d[max])
# print disp
print ans",3968,4,46,2016-03-09 19:28:48,77,15,2,13,0
13171,16621203,"import sys

n = int(sys.stdin.readline().strip())
array = map(int, sys.stdin.readline().strip().split())
vis = [False] * n

pointer = 0

count = 0
sign = 1
a = 0

while count != n:
    while pointer < n:
        if count >= array[pointer] and not vis[pointer]:
            count += 1
            vis[pointer] = True
        pointer += 1
    
    a += 1
    pointer -= 1
    
    if count >= n:
        break
    
    while pointer >= 0:
        if count >= array[pointer] and not vis[pointer]:
            count += 1
            vis[pointer] = True
        pointer -= 1
    
    if count >= n:
        break
    
    a += 1
    
print a",3969,8,46,2016-03-09 20:11:39,73,13,2,13,0
13176,16628404,"# cook your code here
import sys

n = int(sys.stdin.readline().strip())
array = map(int, sys.stdin.readline().strip().split())
vis = [False] * n

pointer = 0

count = 0
sign = 1
a = -1

while count != n:
    if count >= array[pointer] and not vis[pointer]:
        count += 1
        vis[pointer] = True
    if count == n:
        break
    if pointer == 0:
        sign = 1
        a += 1
        #print array[pointer]
        #print pointer
    elif pointer == n - 1:
        sign = -1
        a += 1
        #print array[pointer]
        #print pointer
    pointer += 1 * sign
    
if a != -1:
    print a
else:
    print a + 1",3969,28,530,2016-03-10 10:00:11,69,13,1,13,0
13344,16880770,"def count(o):
	result = 0
	for i in a:
		if i == o:
			result += 1
	return result

n = input()
a = map(int, raw_input().split())
result = []
for i in xrange(n*n):
	if count(a[i])&1:
		result.append(a[i])

if len(result) != n:
	result.extend([a[0]]*n)
print ' '.join(map(str,result))",4044,4460,46,2016-03-23 08:24:44,33,14,2,13,0
13345,16880805,"from collections import Counter

n = input()
a = Counter(map(int, raw_input().split()))
result = []
for i in a:
	value = i
	if a[i]&1:
		result.append(i)

if len(result) != n:
	result.extend([value]*n)
print ' '.join(map(str,result))",4044,7584,217,2016-03-23 08:28:38,25,14,2,13,0
13625,17180544,"n=input()
R=[0]*(n+1)
C=[0]*(n+1)
for i in range(1,n*n+1):
    a,b=map(int,raw_input().split())
    if not R[a] and not R[b]:
        print i,
        R[a]=R[b]=1",4123,4520,62,2016-04-06 08:28:59,8,12,2,13,0
13626,17180549,"n=input()
R=[0]*(n+1)
C=[0]*(n+1)
for i in range(1,n*n+1):
    a,b=map(int,raw_input().split())
    if not R[a] and not C[b]:
        print i,
        R[a]=C[b]=1",4123,4528,62,2016-04-06 08:29:57,8,12,1,13,0
13632,17182704,"n=input()
a=map(int,raw_input().split())
def gcd(a,b):
    if not b: return a
    return gcd(b, a%b)
a.sort()
ans=[0]*n
ans[0]=a[-1]
k=1
d=dict()
for x in a:
    d[x]=d.get(x,0)+1
for v in sorted(set(a[:-1]), reverse=True):
    while d[v]:
        d[v]-=1
        ans[k]=v
        for x in ans[:k]:
            g=gcd(v,x)
            d[g]=d.get(g)-2
        k+=1
print ' '.join(map(str,ans))",4125,4516,46,2016-04-06 12:01:31,21,14,5,13,0
13633,17182734,"n=input()
a=map(int,raw_input().split())
def gcd(a,b):
    if not b: return a
    return gcd(b, a%b)
a.sort()
ans=[0]*n
ans[0]=a[-1]
k=1
d=dict()
for x in a[:-1]:
    d[x]=d.get(x,0)+1
for v in sorted(set(a[:-1]), reverse=True):
    while d[v]:
        d[v]-=1
        ans[k]=v
        for x in ans[:k]:
            g=gcd(v,x)
            d[g]=d[g]-2
        k+=1
print ' '.join(map(str,ans))",4125,17708,764,2016-04-06 12:03:36,21,14,1,13,0
13649,17258435,"# Asphalting Roads

n = int(raw_input())

vertical = []
horizontal = []
days = ''

for i in range(n**2):
    [h, v] = map(int, raw_input().split())
    if v not in vertical and h not in horizontal:
        vertical.append(v)
        horizontal.append(h)
        if len(days) < (n-1)*2:
            days += str(i+1) + ' '
        elif len(days) == (n-1)*2:
            days += str(i+1)

print days",4134,4516,46,2016-04-10 03:51:34,37,12,2,13,0
13650,17258479,"# Asphalting Roads

n = int(raw_input())

vertical = []
horizontal = []
days = ''

for i in range(n**2):
    [h, v] = map(int, raw_input().split())
    if v not in vertical and h not in horizontal:
        vertical.append(v)
        horizontal.append(h)
        days += str(i+1) + ' '

print days",4134,4600,46,2016-04-10 03:54:41,31,12,1,13,0
13659,17272114,"def mp():  return map(int,input().split())
def lt():  return list(map(int,input().split()))
def pt(x):  print(x)
def ip():  return input()
def it():  return int(input())
def sl(x):  return [t for t in x]
def spl(x): return x.split()
def aj(liste, item): liste.append(item)
def bin(x):  return ""{0:b}"".format(x)
def printlist(l): print(' '.join([str(x) for x in l]))
def listring(l): return ''.join([str(x) for x in l])

n = it()
a = lt()

i = 0
visited = [False for i in range(n)]
sens = 1
piece = 0
nott =0
c = 0
while any([not k for k in visited]):
    if sens == 1:
        if i <= n-1:
            if piece >= a[i] and not visited[i]:
                piece += 1
                visited[i] = True
            i += 1
        else:
            sens = -1
            i = n-1
            c += 1
    elif sens == -1:
        if i >= 0:
            if piece >= a[i] and not visited[i]:
                piece += 1
                visited[i] = True
            i -= 1
        else:
            sens = 1
            i = 0
            c += 1
print(c)",4139,408,1000,2016-04-11 01:50:12,85,13,3,8,0
13663,17272381,"from collections import Counter
from fractions import gcd
def mp():  return map(int,input().split())
def lt():  return list(map(int,input().split()))
def pt(x):  print(x)
def ip():  return input()
def it():  return int(input())
def sl(x):  return [t for t in x]
def spl(x): return x.split()
def aj(liste, item): liste.append(item)
def bin(x):  return ""{0:b}"".format(x)
def printlist(l): print(' '.join([str(x) for x in l]))
def listring(l): return ''.join([str(x) for x in l])

n = it()
a = lt()
L = []
a.sort(reverse = True)
c = Counter(a)
for r in a:
    while c[r] > 0 and n > 0:
        c[r] -= 1
        for j in L:
            c[gcd(j,a[0])] -= 2
        L.append(r)
        n -= 1
    if n == 0:
        break
printlist(L)",4139,1180,62,2016-04-11 02:46:43,57,14,2,8,0
13664,17272389,"from collections import Counter
from fractions import gcd
def mp():  return map(int,input().split())
def lt():  return list(map(int,input().split()))
def pt(x):  print(x)
def ip():  return input()
def it():  return int(input())
def sl(x):  return [t for t in x]
def spl(x): return x.split()
def aj(liste, item): liste.append(item)
def bin(x):  return ""{0:b}"".format(x)
def printlist(l): print(' '.join([str(x) for x in l]))
def listring(l): return ''.join([str(x) for x in l])

n = it()
a = lt()
L = []
a.sort(reverse = True)
c = Counter(a)
for r in a:
    while c[r] > 0 and n > 0:
        c[r] -= 1
        for j in L:
            c[gcd(j,r)] -= 2
        L.append(r)
        n -= 1
    if n == 0:
        break
printlist(L)",4139,19140,733,2016-04-11 02:47:51,57,14,1,8,0
13665,17272397,"def mp():  return map(int,input().split())
def lt():  return list(map(int,input().split()))
def pt(x):  print(x)
def ip():  return input()
def it():  return int(input())
def sl(x):  return [t for t in x]
def spl(x): return x.split()
def aj(liste, item): liste.append(item)
def bin(x):  return ""{0:b}"".format(x)
def printlist(l): print(' '.join([str(x) for x in l]))
def listring(l): return ''.join([str(x) for x in l])

n = it()
a = lt()

i = 0
visited = [False for i in range(n)]
sum = 0
sens = 1
piece = 0
nott =0
c = 0
while sum < n:
    if sens == 1:
        if i <= n-1:
            if piece >= a[i] and not visited[i]:
                piece += 1
                visited[i] = True
                sum += 1
            i += 1
        else:
            sens = -1
            i = n-1
            c += 1
    elif sens == -1:
        if i >= 0:
            if piece >= a[i] and not visited[i]:
                piece += 1
                visited[i] = True
                sum += 1
            i -= 1
        else:
            sens = 1
            i = 0
            c += 1
print(c)",4139,264,546,2016-04-11 02:49:52,91,13,1,8,0
13832,17394911,"n = int(input())
hset = set()
vset = set()

answer = """"
for i in range(1, n*n+1):
    h,v = (int(x) for x in input().split())
    if h not in hset and v not in vset:
        hset.add(i)
        vset.add(i)
        answer = answer + str(i) + "" ""
print(answer)",4188,4492,46,2016-04-20 08:22:18,12,12,2,8,0
13833,17394929,"n = int(input())
hset = set()
vset = set()

answer = """"
for i in range(1, n*n+1):
    h,v = (int(x) for x in input().split())
    if h not in hset and v not in vset:
        hset.add(h)
        vset.add(v)
        answer = answer + str(i) + "" ""
print(answer)",4188,5040,62,2016-04-20 08:24:54,12,12,1,8,0
14028,17826724,"n = int(input())
s = [set()]*2
ans = ''
for i in range(n*n):
    t = [int(x) for x in input().split()]
    if ((t[0] not in s[0]) and (t[1] not in s[1])):
        ans += str(i+1)+' '
        s[0].add(t[0])
        s[1].add(t[1])

print(ans)",4254,4480,62,2016-05-10 06:09:29,21,12,2,8,0
14029,17826748,"n = int(input())
s = [set(),set()]
ans = ''
for i in range(n*n):
    t = [int(x) for x in input().split()]
    if ((t[0] not in s[0]) and (t[1] not in s[1])):
        ans += str(i+1)+' '
        s[0].add(t[0])
        s[1].add(t[1])

print(ans)",4254,5036,77,2016-05-10 06:13:07,21,12,1,8,0
14154,18011379,"a = int(raw_input())

days = []

dictA = {}
for i in range(a*a):
    b = [int(item) for item in raw_input().split(' ')]
    if b[0] not in dictA and b[1] not in dictA:
        dictA[b[0]] = """"
        dictA[b[1]] = """"
        days.append(str(i+1))

print ' '.join(days)",4302,4508,61,2016-05-21 01:06:16,13,12,2,13,0
14155,18011390,"a = int(raw_input())

days = []

dictA = {}
dictB = {}
for i in range(a*a):
    b = [int(item) for item in raw_input().split(' ')]
    if b[0] not in dictA and b[1] not in dictB:
        dictA[b[0]] = """"
        dictB[b[1]] = """"
        days.append(str(i+1))

print ' '.join(days)",4302,4624,62,2016-05-21 01:08:28,14,12,1,13,0
14260,18110531,"import math
n = input()

r = set()
p = []
for i in range(int(math.pow(n, 2))):
    a, b = map(int, raw_input().split())
    if a not in r and b not in r:
        r.add(a)
        r.add(b)
        p.append(str(i + 1))



print ' '.join(p)",4336,4544,46,2016-05-27 00:54:03,15,12,2,13,0
14261,18110597,"import math
n = input()

h = set()
v = set()
p = []

for i in range(int(math.pow(n, 2))):
    a, b = map(int, raw_input().split())
    if a not in h and b not in v:
        h.add(a)
        v.add(b)
        p.append(str(i + 1))

print ' '.join(p)",4336,4648,62,2016-05-27 01:06:42,15,12,1,13,0
14276,18140035,"seen = set()
n = int(input())
for i in range(n*n):
    h, v = [int(x) for x in input().split()]
    if h not in seen and v not in seen:
        print(str(i+1))
        seen.add(h)
        seen.add(v)",4345,4484,61,2016-05-29 05:40:43,8,12,2,8,0
14277,18140048,"seen_h = set()
seen_v = set()
n = int(input())
for i in range(n*n):
    h, v = [int(x) for x in input().split()]
    if h not in seen_h and v not in seen_v:
        print(str(i+1))
        seen_h.add(h)
        seen_v.add(v)",4345,4516,62,2016-05-29 05:43:56,9,12,1,8,0
14532,18542844,"n = int(input())
A = list(map(int, input().split()))

# code
curr = 0
rot = 0

while curr < n:
    print(A, curr, rot)
    for i in range(0, n):
        if A[i] <= curr:
            curr += 1
            A[i] = n + 3
    if (curr != n): rot += 1
    for i in range(n - 1, -1, -1):
        if A[i] <= curr:
            curr += 1
            A[i] = n + 3
    if (curr != n): rot += 1
print(rot)",4447,0,46,2016-06-17 15:36:11,20,13,2,8,0
14533,18542855,"n = int(input())
A = list(map(int, input().split()))

# code
curr = 0
rot = 0

while curr < n:
    for i in range(0, n):
        if A[i] <= curr:
            curr += 1
            A[i] = n + 3
    if (curr != n): rot += 1
    for i in range(n - 1, -1, -1):
        if A[i] <= curr:
            curr += 1
            A[i] = n + 3
    if (curr != n): rot += 1
print(rot)",4447,12,202,2016-06-17 15:36:33,19,13,1,8,0
14546,18581385,"n = input()
a = map(int, raw_input().split())


def robot(forward):

    turns = -1
    count = 0
    visited = set()
    while count < n:
        if forward:
            for i in range(len(a)):
                if i not in visited and count >= a[i]:
                    count += 1
                    visited.add(i)
        else:
            for i in range(len(a) - 1, -1, -1):
                if i not in visited and count >= a[i]:
                    count += 1
                    visited.add(i)

        forward = not forward
        turns += 1

    return turns


print min(robot(True), robot(False))",4336,56,171,2016-06-18 17:34:33,28,13,2,13,0
14547,18582381,"n = input()
a = map(int, raw_input().split())


def robot(forward):

    turns = -1
    count = 0
    visited = set()
    while count < n:
        if forward:
            for i in range(len(a)):
                if i not in visited and count >= a[i]:
                    count += 1
                    visited.add(i)
        else:
            for i in range(len(a) - 1, -1, -1):
                if i not in visited and count >= a[i]:
                    count += 1
                    visited.add(i)

        forward = not forward

        turns += 1

    return turns


print robot(True)",4336,60,140,2016-06-18 18:28:05,29,13,1,13,0
15257,18974884,"roads = input()
intersections = []
days = """"
for r in range(roads*roads):
    intersections.append([int(x) for x in input().split()])
xaxis = []
yaxis = []
for i in range(len(intersections)):
    if not intersections[i][0] in xaxis and not intersections[i][1] in yaxis:
        days = days + str(i+1)+ "" "" 
        xaxis.append(intersections[i][0])
        yaxis.append(intersections[i][1])
print(days[:-1])",4596,0,46,2016-07-08 22:19:02,25,12,5,8,0
15258,18974916,"roads = int(input())
intersections = []
days = """"
for r in range(roads*roads):
    intersections.append([int(x) for x in input().split()])
xaxis = []
yaxis = []
for i in range(len(intersections)):
    if not intersections[i][0] in xaxis and not intersections[i][1] in yaxis:
        days = days + str(i+1)+ "" "" 
        xaxis.append(intersections[i][0])
        yaxis.append(intersections[i][1])
print(days[:-1])",4596,336,62,2016-07-08 22:22:03,25,12,1,8,0
15570,19477496,"n =int(raw_input())
lis = [0 for i in xrange(n)]
ans = []
count = 0
for _ in xrange(n*n):
	a,b = map(int,raw_input().split())
	if lis[a-1]==0 and lis[b-1]==0 and a==b:
		lis[a-1]=1
		count+=1
		ans.append(_+1)
	elif lis[a-1]==0 and lis[b-1]==0 and a!=b:
		lis[a-1]=1
		lis[b-1]=1
		count+=2
		ans.append(_+1)
	if count == n:
		break
ans = sorted(ans)
print ' '.join(str(i) for i in ans)",1773,4,46,2016-07-29 13:10:08,37,12,2,13,0
15571,19477648,"n =int(raw_input())
hor = [0 for i in xrange(n)]
ver = [0 for i in xrange(n)]
ans = []
count = 0
for _ in xrange(n*n):
	a,b = map(int,raw_input().split())
	if hor[a-1]==0 and ver[b-1]==0:
		hor[a-1]=1
		ver[b-1]=1
		count+=2
		ans.append(_+1)
	
	if count == n*n:
		break
ans = sorted(ans)
print ' '.join(str(i) for i in ans)",1773,8,93,2016-07-29 13:22:35,33,12,1,13,0
15594,19560337,"import sys

def solve(n, an):
    dir = 1
    get = [0] * n
    index = 0
    get_num = 0
    ans = 0
    while True:
        if get[index] is 0 and an[index] <= get_num:
            get[index] = 1
            get_num += 1
            if get_num == n:
                break
        if dir is 1:
            index += 1
            if index is n:
                dir = 0
                index = n-1
                ans += 1
        else:
            index -= 1
            if index < 0:
                dir = 1
                index = 0
                ans += 1
    return ans


n = int(input())
an = list(map(int, sys.stdin.readline().split()))
print(solve(n, an))",4665,24,62,2016-08-01 15:28:21,32,13,5,8,0
15595,19560550,"import sys

def solve(n, an):
    ans = 0
    got = 0
    while True:
        for i in range(n):
            if an[i] <= got:
                an[i] = n+1
                got += 1
        if got == n:
            break
        ans += 1

        i = n-1
        while i >= 0:
            if an[i] <= got:
                an[i] = n+1
                got += 1
            i -= 1
        if got == n:
            break
        ans += 1
    return ans


n = int(input())
an = list(map(int, sys.stdin.readline().split()))
print(solve(n, an))",4665,0,186,2016-08-01 15:38:04,29,13,1,8,0
15666,19758680,"n = int(raw_input())

arr = []

for i in range(n**2):
	h,v = map(int, raw_input().split())
	if h == v:
		arr.append(str(i+1))

print ' '.join(arr)",4734,4464,31,2016-08-10 08:06:50,10,12,2,13,0
15667,19758718,"n = int(raw_input())

arr = []
harr = []
varr = []
for i in range(n**2):
	h,v = map(int, raw_input().split())
	if h in harr or v in varr:
		pass
	else:
		harr.append(h)
		varr.append(v)
		arr.append(str(i+1))

print ' '.join(arr)",4734,4524,62,2016-08-10 08:10:23,15,12,1,13,0
15800,20017948,"#Problem 583A
nroads = int(input())

schedule = []
for rd in range(nroads**2):
	schedule.append(input().split(' '))

# initialize with non asphalted roads.
vertical = [False for i in range(nroads)]
horizontal = vertical.copy()

time = 0
for day in schedule:
	# convert to 0 --> n-1 scale.
	h = int(day[0]) - 1
	v = int(day[1]) - 1

	if horizontal[h] and vertical[v]:
		horizontal[h] = True
		vertical[v] = True
		time += 1
	else:
		time += 1

print(time)",4795,4452,31,2016-08-21 06:43:57,25,12,2,8,0
15801,20018208,"#Problem 583A
nroads = int(input())

schedule = []
for rd in range(nroads**2):
	schedule.append(input().split(' '))

# initialize with non asphalted roads.
vertical = [False for i in range(nroads)]
horizontal = vertical.copy()

inprogress = []
time = 0
for day in schedule:
	# convert to 0 --> n-1 scale.
	h = int(day[0]) - 1
	v = int(day[1]) - 1

	if not horizontal[h] and not vertical[v]:
		horizontal[h] = True
		vertical[v] = True
		time += 1
		print(time, end=' ')
	else:
		time += 1

print()",4795,4952,77,2016-08-21 07:05:08,27,12,1,8,0
16027,20439692,"values = int(input())

array = list(map(int, input().split()))

counter = 0
if array[values-1] == 0:
    ways=-1
else:
    ways=0

while counter != values:
    for i in range(0,values):
        if array[i] != -1 and array[i] <= counter:
            counter += 1
            array[i] = -1
    ways += 1

print(ways)",4659,0,62,2016-09-07 18:06:14,35,13,2,8,0
16028,20440552,"values = int(input())

array = list(map(int, input().split()))

counter = 0
ways =0


while counter != values:
        for i in range(0,values):
            if array[i] != -1 and array[i] <= counter:
                counter += 1
                array[i] = -1
        if counter == values:
            break
        ways += 1
        for i in range(values-1, -1, -1):
            if array[i] != -1 and array[i] <= counter:
                counter += 1
                array[i] = -1
        if counter == values:
            break
        ways += 1

print(ways)",4659,0,265,2016-09-07 18:42:34,49,13,1,8,0
16040,20455157,"n = int(input())
asphaltedH = set()
asphaltedV = set()
days = []
for i in range(n * n):
    h, v = [int(i) for i in input().split()]
    if h not in asphaltedH and v not in asphaltedV:
        days.append(str(i + 1))
        asphaltedH.add(h)
        asphaltedV.add(v)
print("" "".join(sorted(days)))",4877,0,62,2016-09-08 12:35:33,21,12,2,8,0
16041,20455187,"n = int(input())
asphaltedH = set()
asphaltedV = set()
days = []
for i in range(n * n):
    h, v = [int(i) for i in input().split()]
    if h not in asphaltedH and v not in asphaltedV:
        days.append(i + 1)
        asphaltedH.add(h)
        asphaltedV.add(v)
print("" "".join([str(i) for i in sorted(days)]))",4877,16,62,2016-09-08 12:36:38,21,12,1,8,0
16162,20720977,"n = int(input())
x, y = [], []
for i in range(1,n*2+1):
    x1, y1 = map(int, input().split())
    if not x1 in x and not y1 in y:
        x.append(x1)
        y.append(y1)
        print(i, end=' ')",4919,0,46,2016-09-18 00:55:10,15,12,5,8,0
16163,20720984,"n = int(input())
x, y = [], []
for i in range(1,n**2+1):
    x1, y1 = map(int, input().split())
    if not x1 in x and not y1 in y:
        x.append(x1)
        y.append(y1)
        print(i, end=' ')",4919,16,77,2016-09-18 00:56:06,15,12,1,8,0
16214,20834088,"n = int(raw_input())
if ( n >= 1 and n <= 50 ):
    counter = 0
    list_days = list()
    inp = map(int, raw_input().split())
    h_v = list(inp)
    h, v = h_v[0], h_v[1]
    if ( (h == v)  and (h >= 1 and v <= n) ):
        counter += 1
        list_days.append(counter)
        for i in range((n ** 2) - 1):
            inp = map(int, raw_input().split())
            h_v = list(inp)
            h, v = h_v[0], h_v[1]
            counter += 1
            if ( (h == v)  and (h >= 1 and v <= n) ):
                list_days.append(counter)

    else:
        counter += 1
        list_days.append(counter)
        for i in range((n**2) -1 ):
            inp = map(int, raw_input().split())
            h_v = list(inp)
            h, v = h_v[0], h_v[1]
            counter += 1
            if ( (h != v) and (h >= 1 and v <= n) ):
                list_days.append(counter)

    str_days = str()
    for i in range(len(list_days)):
        str_days += str(list_days[i]) + "" ""
    print str_days",4940,20,46,2016-09-23 12:35:34,65,12,2,13,0
16217,20868072,"n = int(raw_input())
ls_h = list()
ls_v = list()
for i in range(n):
    ls_h.append(False)
    ls_v.append(False)

ls_days = list()
for i in range(n**2):
    h_v = map(int, raw_input().split())
    ls_h_v = list(h_v)
    h, v = ls_h_v[0], ls_h_v[1]
    if ( h >= 1 and v <= n ):
        if ( ls_h[h-1] == False and ls_v[v-1] == False ):
            ls_h[h-1] = True
            ls_v[v-1] = True
            ls_days.append(i+1)

str_days = str()
for i in range(len(ls_days)):
    str_days += str(ls_days[i]) + "" ""
print str_days",4940,48,108,2016-09-23 19:46:26,43,12,1,13,0
16534,21648676,"n=input()
n=n*n
c=[]
d=[]
for i in range(0,n):
    a,b=map(int,raw_input().split())
    if i==0:
        c.append(a)
        c.append(b)
        d.append(i+1)
    else:
        if a not in c and b not in c:
            c.append(a)
            c.append(b)
            d.append(i+1)
for i in d:
    print i,",5030,20,61,2016-10-21 20:30:09,33,12,2,13,0
16535,21648728,"n=input()
n=n*n
c=[]
d=[]
e=[]
for i in range(0,n):
    a,b=map(int,raw_input().split())
    if i==0:
        c.append(a)
        e.append(b)
        d.append(i+1)
    else:
        if a not in c and b not in e:
            c.append(a)
            e.append(b)
            d.append(i+1)
for i in d:
    print i,",5030,40,77,2016-10-21 20:32:35,35,12,1,13,0
16654,22071285,"#
#   583B. Robot's Task
#
n = int(raw_input().strip())
a = list(map(int, raw_input().strip().split()))
while True:
    # front pass
    for i in range(n):
        if a[i] <= temp:
            a[i] = n + 1
            temp += 1
    if temp == n:
        break
    ans += 1
    # back pass
    for i in range(n, -1, -1):
        if a[i] <= temp:
            a[i] = n + 1
            temp += 1
    if temp == n:
        break
    ans += 1
print ans",5026,8,31,2016-11-06 11:53:58,45,13,5,13,0
16655,22071338,"def robot_task():
    n = int(raw_input().strip())
    a = list(map(int, raw_input().strip().split()))
    temp, ans = 0, 0
    while True:
        # front pass
        for i in range(n):
            if a[i] <= temp:
                a[i] = n + 1
                temp += 1
        if temp == n:
            break
        ans += 1
        # back pass
        for i in range(n - 1, -1, -1):
            if a[i] <= temp:
                a[i] = n + 1
                temp += 1
        if temp == n:
            break
        ans += 1
    print ans

robot_task()",5026,24,108,2016-11-06 11:57:04,47,13,1,13,0
17121,22563014,"n=int(input())
l=[0]*n
d=[]
for i in range(n*n):
    a,b=map(int, input().split())
    if l[a-1]&1==0 and l[b-1]&2==0:
        l[a-1]=l[a-1]|3
        d.append(i+1)
print("" "".join(map(str, d)))",34,0,46,2016-11-28 05:18:36,17,12,2,8,0
17122,22563428,"n=int(input())
l=[0]*n
d=[]
for i in range(n*n):
    a,b=map(int, input().split())
    if l[a-1]&1==0 and l[b-1]&2==0:
        l[a-1]=l[a-1]|1
        l[b-1]=l[b-1]|2
        d.append(i+1)
print("" "".join(map(str, d)))",34,0,62,2016-11-28 06:09:57,19,12,1,8,0
17338,23050803,"n=int(raw_input())
q=[]
for i in range(1,n*n+1):
    x=raw_input().split()
    if (x[0] not in q) and (x[1] not in q):
        print i,
        q.append(x[0])
        q.append(x[1])",5183,8,46,2016-12-17 18:26:27,15,12,2,13,0
17339,23050994,"n=int(raw_input())

h=[]
v=[]

for i in range(1,n*n+1):
    x=raw_input().split()
    if (x[0] not in h) and (x[1] not in v):
        print i,
        h.append(x[0])
        v.append(x[1])",5183,40,61,2016-12-17 18:34:04,21,12,1,13,0
17615,23874333,"n = int(input())
l = list(map(int, input().split()))
res = 0
cont = 0
while cont < n:
    for i in range(n):
        if l[i] < i+1:
            cont+=1
    res+=1
print(res)",34,4492,46,2017-01-16 08:59:02,19,13,2,8,0
17618,23890678,"n = int(input())
l = list(map(int, input().split()))
pieces = 0
res = -1
while pieces < n:
    for i in range(n):
        if l[i] <= pieces:
            pieces += 1
            l[i] = 1001   
    res += 1    
    if pieces == n:
        print(res)
        exit(0)
           
    for i in range(n-1, -1, -1):
        if l[i] <= pieces:
            pieces += 1
            l[i] = 1001
    res += 1     
    if pieces == n:
        print(res)
        exit(0)",34,4536,202,2017-01-16 23:57:17,43,13,1,8,0
